Z,RC20,RC40,RC60,RC80,RC100,RC120,A20,A40,A60,A80,A100,A120
517.5,-59.19912026,-26.01991133,0,19.36621503,32.23566992,39.21025732,5.47524E-07,2.40654E-07,0,1.79115E-07,2.98143E-07,3.6265E-07
525,-59.50722618,-26.32143787,0,19.52960998,33.6523106,41.70979291,5.775E-07,2.55442E-07,0,1.89529E-07,3.26586E-07,4.04781E-07
532.5,-59.7243844,-26.53390622,0,20.18323203,34.64983744,43.46945226,6.00309E-07,2.66701E-07,0,2.02868E-07,3.48277E-07,4.36925E-07
540,-59.90826744,-26.71379583,0,20.4219312,35.49411428,44.95861152,6.20863E-07,2.7685E-07,0,2.11644E-07,3.67845E-07,4.65931E-07
547.5,-60.08187435,-26.88363094,0,20.63793645,36.29118176,46.36449015,6.41469E-07,2.87025E-07,0,2.20342E-07,3.87466E-07,4.95014E-07
555,-60.26513323,-27.06293052,0,21.12965576,37.13296241,47.84939814,6.64695E-07,2.98491E-07,0,2.3305E-07,4.09558E-07,5.27755E-07
562.5,-60.4569907,-27.25066363,0,21.82515533,38.01461156,49.40478697,6.90794E-07,3.11372E-07,0,2.49379E-07,4.34363E-07,5.6451E-07
570,-60.64257551,-27.43226345,0,22.31421804,38.86751733,50.90950074,7.17909E-07,3.24753E-07,0,2.64164E-07,4.60128E-07,6.02685E-07
577.5,-60.86368507,-27.64867461,0,22.19375282,39.88457436,52.70417752,7.53115E-07,3.42119E-07,0,2.74621E-07,4.93523E-07,6.5215E-07
585,-61.09189928,-27.8720588,0,22.63764677,40.93465911,54.55727688,7.93054E-07,3.61816E-07,0,2.93867E-07,5.31386E-07,7.08226E-07
592.5,-61.34485246,-28.11969257,0,23.50942214,42.09919005,56.61259281,8.42372E-07,3.86132E-07,0,3.22825E-07,5.78095E-07,7.7739E-07
600,-61.59734828,-28.36689317,0,24.05520217,43.26187776,58.66476311,8.97729E-07,4.13424E-07,0,3.50584E-07,6.30505E-07,8.54989E-07
607.5,-61.86769059,-28.6315936,0,24.08492125,44.50724069,60.86306021,9.65273E-07,4.46716E-07,0,3.75778E-07,6.94412E-07,9.49599E-07
615,-62.13670144,-28.89500553,0,24.89422326,45.74674286,63.05112376,1.04279E-06,4.84922E-07,0,4.1778E-07,7.67731E-07,1.05814E-06
622.5,-62.40590944,-29.15862659,0,25.11647722,46.98744292,65.24142052,1.13323E-06,5.29494E-07,0,4.56092E-07,8.53249E-07,1.18472E-06
630,-62.66479265,-29.41214706,0,25.783748,48.18073783,67.34810291,1.23552E-06,5.79901E-07,0,5.08362E-07,9.4995E-07,1.32786E-06
637.5,-62.91393848,-29.65614162,0,26.18513962,49.32932487,69.37592852,1.35216E-06,6.37377E-07,0,5.62777E-07,1.0602E-06,1.49104E-06
645,-63.14523146,-29.88265698,0,26.5441804,50.39569032,71.258626,1.48102E-06,7.00876E-07,0,6.22574E-07,1.18199E-06,1.67132E-06
652.5,-63.35522344,-30.08831251,0,27.00546599,51.36386978,72.96798238,1.62023E-06,7.6947E-07,0,6.9063E-07,1.31356E-06,1.86606E-06
660,-63.54415479,-30.27334172,0,27.31799208,52.23493789,74.50588128,1.7688E-06,8.42683E-07,0,7.60419E-07,1.454E-06,2.07393E-06
667.5,-63.71071651,-30.43645978,0,27.73699689,53.00280742,75.86155419,1.92324E-06,9.18786E-07,0,8.37297E-07,1.6E-06,2.29003E-06
675,-63.8577277,-30.58042734,0,28.04014064,53.68047231,77.05794086,2.08271E-06,9.97374E-07,0,9.14523E-07,1.75078E-06,2.51323E-06
682.5,-63.98409199,-30.70416795,0,28.34988539,54.26282843,78.0860096,2.24131E-06,1.07554E-06,0,9.93075E-07,1.90079E-06,2.73529E-06
690,-64.09399152,-30.81177859,0,28.44835854,54.76917924,78.97985012,2.39913E-06,1.15333E-06,0,1.06486E-06,2.05009E-06,2.95633E-06
697.5,-64.18739512,-30.90322703,0,28.65128939,55.1993507,79.73914273,2.55051E-06,1.22795E-06,0,1.13847E-06,2.19336E-06,3.16846E-06
705,-64.26756328,-30.98170757,0,28.76261886,55.56839571,80.39047212,2.69523E-06,1.2993E-06,0,1.20624E-06,2.33041E-06,3.37139E-06
712.5,-64.33611194,-31.04880287,0,28.88772578,55.88376641,80.94699597,2.83126E-06,1.36637E-06,0,1.27127E-06,2.45929E-06,3.56226E-06
720,-64.39684001,-31.10823579,0,29.02917675,56.16302084,81.43973116,2.96258E-06,1.43114E-06,0,1.33549E-06,2.58379E-06,3.74664E-06
727.5,-64.45024093,-31.16048927,0,29.10029074,56.40842819,81.87268162,3.08721E-06,1.49261E-06,0,1.39393E-06,2.70201E-06,3.92176E-06
735,-64.4974494,-31.20667497,0,29.27326913,56.62522733,82.25509973,3.20508E-06,1.55076E-06,0,1.45468E-06,2.81389E-06,4.08752E-06
742.5,-64.5385401,-31.24686548,0,29.32617697,56.81375248,82.58757137,3.31361E-06,1.60431E-06,0,1.5057E-06,2.91699E-06,4.2403E-06
750,-64.57458457,-31.28211075,0,29.39980382,56.97895402,82.87884076,3.41338E-06,1.65355E-06,0,1.55406E-06,3.01188E-06,4.38093E-06
757.5,-64.60661025,-31.3134177,0,29.44889161,57.1255812,83.13729774,3.50561E-06,1.69909E-06,0,1.59792E-06,3.09968E-06,4.5111E-06
765,-64.63393596,-31.34011796,0,29.48043937,57.25047101,83.3573488,3.5861E-06,1.73885E-06,0,1.63567E-06,3.17644E-06,4.62494E-06
772.5,-64.65787062,-31.36349459,0,29.5370629,57.35967916,83.54969398,3.65774E-06,1.77425E-06,0,1.67093E-06,3.24488E-06,4.72646E-06
780,-64.679465,-31.38457768,0,29.52350097,57.4580686,83.72292644,3.72326E-06,1.80665E-06,0,1.69952E-06,3.30756E-06,4.8195E-06
787.5,-64.69889809,-31.40354253,0,29.58414878,57.54646453,83.87850311,3.78255E-06,1.83597E-06,0,1.72961E-06,3.36439E-06,4.90387E-06
795,-64.71688359,-31.42108886,0,29.642203,57.62817144,84.02226385,3.83782E-06,1.86332E-06,0,1.75783E-06,3.41745E-06,4.98266E-06
802.5,-64.73388011,-31.43766636,0,29.64866116,57.70531308,84.15796196,3.89056E-06,1.88943E-06,0,1.78191E-06,3.46814E-06,5.05797E-06
810,-64.75015185,-31.45353403,0,29.70890121,57.77911269,84.28775925,3.94165E-06,1.91473E-06,0,1.80852E-06,3.51729E-06,5.131E-06
817.5,-64.76664704,-31.46962193,0,29.69030534,57.85396716,84.41942875,3.99516E-06,1.94122E-06,0,1.83146E-06,3.56875E-06,5.20745E-06
825,-64.78251596,-31.48509655,0,29.33203365,57.92593488,84.54600169,4.04728E-06,1.96703E-06,0,1.83251E-06,3.61891E-06,5.282E-06
832.5,-64.79802282,-31.50021701,0,30.25690637,57.99624065,84.66964317,4.0991E-06,1.99269E-06,0,1.91404E-06,3.66882E-06,5.35617E-06
840,-64.81358239,-31.51539018,0,29.85915546,58.06680865,84.79375525,4.15257E-06,2.01917E-06,0,1.91306E-06,3.72031E-06,5.43269E-06
847.5,-64.82931985,-31.53073887,0,29.39988779,58.13822002,84.9193656,4.2084E-06,2.04682E-06,0,1.9085E-06,3.77405E-06,5.51254E-06
855,-64.84491427,-31.54594824,0,30.14428838,58.20898513,85.04384015,4.26505E-06,2.07488E-06,0,1.98268E-06,3.82859E-06,5.5936E-06
862.5,-64.86007223,-31.56073036,0,29.69121776,58.27774118,85.16476875,4.32096E-06,2.10257E-06,0,1.97802E-06,3.88245E-06,5.67366E-06
870,-64.87453445,-31.57483077,0,30.50334102,58.34328319,85.28002009,4.37457E-06,2.12913E-06,0,2.05688E-06,3.93416E-06,5.75054E-06
877.5,-64.88803568,-31.58798911,0,30.24145076,58.40437769,85.3874121,4.42413E-06,2.1537E-06,0,2.06189E-06,3.98207E-06,5.8218E-06
885,-64.90031952,-31.59995369,0,30.15393544,58.45983173,85.48483418,4.46784E-06,2.17539E-06,0,2.07584E-06,4.02447E-06,5.88491E-06
892.5,-64.91170342,-31.61103591,0,30.19359465,58.51111829,85.57489075,4.50715E-06,2.19491E-06,0,2.09649E-06,4.06272E-06,5.9419E-06
900,-64.92272441,-31.62176275,0,30.27371452,58.56073195,85.66199366,4.54501E-06,2.21373E-06,0,2.11936E-06,4.09963E-06,5.99689E-06
907.5,-64.93311614,-31.63187276,0,30.44205511,58.60743376,85.74395102,4.57969E-06,2.23098E-06,0,2.14706E-06,4.13355E-06,6.04747E-06
915,-64.9431309,-31.64161351,0,29.53148292,58.65239582,85.82283584,4.6126E-06,2.24735E-06,0,2.09748E-06,4.1658E-06,6.09558E-06
922.5,-64.95254581,-31.65076618,0,29.84304638,58.69458084,85.89681279,4.64222E-06,2.26211E-06,0,2.13291E-06,4.19495E-06,6.13912E-06
930,-64.9615025,-31.65946974,0,30.2204871,58.73464658,85.96704514,4.66931E-06,2.27562E-06,0,2.17219E-06,4.22173E-06,6.17915E-06
937.5,-64.96988866,-31.6676139,0,29.57882744,58.77206973,86.03260668,4.69304E-06,2.28748E-06,0,2.1366E-06,4.24534E-06,6.21448E-06
945,-64.97761667,-31.67511258,0,30.15637268,58.80644154,86.09277383,4.71271E-06,2.29734E-06,0,2.18719E-06,4.26512E-06,6.24415E-06
952.5,-64.98498465,-31.68225841,0,29.69039481,58.83914849,86.14999931,4.73017E-06,2.30611E-06,0,2.16113E-06,4.28283E-06,6.27075E-06
960,-64.99231177,-31.68936474,0,30.32620314,58.87167586,86.20691108,4.74752E-06,2.31483E-06,0,2.21525E-06,4.30043E-06,6.2972E-06
967.5,-64.99941757,-31.69625437,0,29.90256807,58.90318324,86.26202195,4.76353E-06,2.32288E-06,0,2.19143E-06,4.31676E-06,6.32177E-06
975,-65.00624201,-31.70286831,0,30.61829929,58.93339066,86.3148363,4.77774E-06,2.33005E-06,0,2.25034E-06,4.3314E-06,6.34385E-06
982.5,-65.01291995,-31.70933898,0,30.26881085,58.96292589,86.36646493,4.79105E-06,2.33678E-06,0,2.23062E-06,4.3452E-06,6.36467E-06
990,-65.01932011,-31.71553743,0,29.97031832,58.99117695,86.41582464,4.80252E-06,2.34261E-06,0,2.2137E-06,4.35727E-06,6.38293E-06
997.5,-65.02574135,-31.72175717,0,30.74778938,59.01953617,86.46537954,4.81422E-06,2.34854E-06,0,2.27643E-06,4.36955E-06,6.40152E-06
1005,-65.03205939,-31.72787612,0,30.46095229,59.0474243,86.51410437,4.82528E-06,2.35416E-06,0,2.26016E-06,4.38123E-06,6.41921E-06
1012.5,-65.03862611,-31.7342399,0,30.12629729,59.07648171,86.56490263,4.83818E-06,2.36069E-06,0,2.24107E-06,4.39466E-06,6.4395E-06
1020,-65.04540911,-31.7408167,0,29.74975291,59.10655767,86.61750768,4.85272E-06,2.36803E-06,0,2.21948E-06,4.40965E-06,6.46211E-06
1027.5,-65.05227768,-31.74747815,0,30.42524764,59.13704303,86.67084135,4.868E-06,2.37573E-06,0,2.27679E-06,4.42535E-06,6.48576E-06
1035,-65.05935668,-31.75434693,0,29.987024,59.16852041,86.72593512,4.88494E-06,2.38426E-06,0,2.25156E-06,4.44263E-06,6.51177E-06
1042.5,-65.06652744,-31.76130646,0,30.59201387,59.20043647,86.78180955,4.90271E-06,2.39319E-06,0,2.30508E-06,4.4607E-06,6.53894E-06
1050,-65.07380663,-31.76837312,0,30.10956567,59.23286915,86.83860267,4.92144E-06,2.4026E-06,0,2.27714E-06,4.4797E-06,6.56748E-06
1057.5,-65.08132559,-31.77567598,0,30.63265794,59.26643174,86.89740047,4.94215E-06,2.41299E-06,0,2.32619E-06,4.50058E-06,6.59883E-06
1065,-65.08911395,-31.78324419,0,30.04361137,59.30126309,86.95844895,4.96513E-06,2.42449E-06,0,2.29179E-06,4.52362E-06,6.63337E-06
1072.5,-65.09715663,-31.79106292,0,30.44656355,59.33729313,87.02162428,4.99033E-06,2.43709E-06,0,2.33403E-06,4.54878E-06,6.67106E-06
1080,-65.10545415,-31.79913275,0,30.78650514,59.37452491,87.086932,5.01782E-06,2.45083E-06,0,2.37278E-06,4.57612E-06,6.71198E-06
1087.5,-65.11398711,-31.80743461,0,30.03403461,59.41286814,87.15421245,5.04752E-06,2.46565E-06,0,2.32818E-06,4.60558E-06,6.75603E-06
1095,-65.12274144,-31.81595471,0,30.26106505,59.45225756,87.22335022,5.07939E-06,2.48156E-06,0,2.36028E-06,4.63711E-06,6.80318E-06
1102.5,-65.13170239,-31.82467858,0,30.43150229,59.49262465,87.29422412,5.1134E-06,2.49851E-06,0,2.38914E-06,4.67069E-06,6.85335E-06
1110,-65.14081425,-31.83355146,0,30.55591932,59.53370929,87.3663736,5.14916E-06,2.51633E-06,0,2.41534E-06,4.70594E-06,6.90601E-06
1117.5,-65.15005955,-31.84255621,0,30.63726387,59.57543014,87.43965471,5.18658E-06,2.53498E-06,0,2.43902E-06,4.74279E-06,6.96105E-06
1125,-65.15938657,-31.851642,0,30.68593522,59.61754554,87.51363946,5.22528E-06,2.55426E-06,0,2.46077E-06,4.78087E-06,7.01792E-06
1132.5,-65.16873831,-31.86075279,0,30.71399445,59.65978904,87.58785597,5.26479E-06,2.57394E-06,0,2.48129E-06,4.81974E-06,7.07597E-06
1140,-65.17804274,-31.86981778,0,30.73730696,59.70182365,87.66170728,5.30449E-06,2.59371E-06,0,2.50154E-06,4.85881E-06,7.13431E-06
1147.5,-65.18725835,-31.87879617,0,30.76541815,59.74345517,87.73484931,5.34398E-06,2.61339E-06,0,2.52211E-06,4.8977E-06,7.1924E-06
1155,-65.19634846,-31.88765186,0,30.80725736,59.78451171,87.80697746,5.38289E-06,2.63278E-06,0,2.54358E-06,4.93606E-06,7.24972E-06
1162.5,-65.20526722,-31.89633977,0,30.87402375,59.82477842,87.87771101,5.42073E-06,2.65165E-06,0,2.56666E-06,4.97344E-06,7.30557E-06
1170,-65.21400064,-31.90484613,0,30.97004815,59.86418954,87.94693335,5.45732E-06,2.6699E-06,0,2.59167E-06,5.00963E-06,7.35969E-06
1177.5,-65.22252859,-31.91315112,0,30.1511854,59.90265053,88.01447681,5.49237E-06,2.6874E-06,0,2.53902E-06,5.04439E-06,7.41168E-06
1185,-65.23086085,-31.92126434,0,30.32197428,59.94020685,88.08042185,5.52592E-06,2.70415E-06,0,2.56867E-06,5.07773E-06,7.46158E-06
1192.5,-65.23898498,-31.92917355,0,30.53066298,59.97679996,88.14466458,5.55776E-06,2.72007E-06,0,2.60093E-06,5.10947E-06,7.50911E-06
1200,-65.24690757,-31.93688521,0,30.77685992,60.01246038,88.20725897,5.58788E-06,2.73514E-06,0,2.63579E-06,5.13959E-06,7.55425E-06
1207.5,-65.25466761,-31.94443765,0,31.05238775,60.0473706,88.26852832,5.61663E-06,2.74954E-06,0,2.67276E-06,5.16842E-06,7.59749E-06
1215,-65.26225822,-31.95182409,0,30.43481327,60.08149814,88.32841498,5.64388E-06,2.76319E-06,0,2.632E-06,5.19585E-06,7.63864E-06
1222.5,-65.2697178,-31.9590823,0,30.76996142,60.11502285,88.38723762,5.66999E-06,2.77629E-06,0,2.67299E-06,5.2222E-06,7.67821E-06
1230,-65.27706015,-31.96622583,0,31.12579313,60.14800922,88.44511047,5.69506E-06,2.78888E-06,0,2.71555E-06,5.24758E-06,7.71635E-06
1237.5,-65.28430279,-31.97327193,0,30.58536722,60.18053935,88.50217901,5.71927E-06,2.80104E-06,0,2.67945E-06,5.27215E-06,7.75328E-06
1245,-65.29147461,-31.980249,0,30.97202138,60.21274866,88.55868327,5.74289E-06,2.81291E-06,0,2.72423E-06,5.29618E-06,7.78942E-06
1252.5,-65.29858371,-31.98716501,0,30.46113045,60.24467511,88.61469048,5.76601E-06,2.82454E-06,0,2.68978E-06,5.31974E-06,7.82487E-06
1260,-65.30565081,-31.99404035,0,30.86319115,60.2764159,88.67037298,5.78884E-06,2.83602E-06,0,2.73578E-06,5.34303E-06,7.85994E-06
1267.5,-65.31268492,-32.00088388,0,30.36755744,60.30801329,88.72580567,5.81147E-06,2.84741E-06,0,2.70208E-06,5.36616E-06,7.89475E-06
1275,-65.31969783,-32.00770721,0,30.77282745,60.33952265,88.7810867,5.83404E-06,2.85877E-06,0,2.74848E-06,5.38924E-06,7.9295E-06
1282.5,-65.32667945,-32.0145004,0,31.17939086,60.37089658,88.83613205,5.85642E-06,2.87004E-06,0,2.79518E-06,5.41214E-06,7.964E-06
1290,-65.33365071,-32.02128405,0,30.69270953,60.4022334,88.89111604,5.87886E-06,2.88134E-06,0,2.76179E-06,5.43512E-06,7.99861E-06
1297.5,-65.3406027,-32.02804939,0,31.09673606,60.43349122,88.94596441,5.90124E-06,2.89261E-06,0,2.8085E-06,5.45805E-06,8.03315E-06
1305,-65.34754572,-32.03480655,0,30.61393823,60.46471847,89.00076304,5.92368E-06,2.90392E-06,0,2.77512E-06,5.48106E-06,8.06781E-06
1312.5,-65.35450206,-32.0415775,0,31.00654738,60.49602002,89.05569795,5.94646E-06,2.91539E-06,0,2.82122E-06,5.5044E-06,8.10298E-06
1320,-65.36145001,-32.04834084,0,30.51878076,60.5272938,89.1105881,5.96932E-06,2.92691E-06,0,2.78721E-06,5.52783E-06,8.13828E-06
1327.5,-65.36842079,-32.05512733,0,30.89720312,60.55868668,89.16569404,5.99265E-06,2.93865E-06,0,2.8325E-06,5.55172E-06,8.17426E-06
1335,-65.37541366,-32.06193624,0,31.26270971,60.59019529,89.22100981,6.01645E-06,2.95063E-06,0,2.87708E-06,5.57607E-06,8.21094E-06
1342.5,-65.3824363,-32.06877513,0,30.7470839,60.62185582,89.27659965,6.04082E-06,2.9629E-06,0,2.84079E-06,5.60098E-06,8.24845E-06
1350,-65.38950284,-32.07565792,0,31.08137104,60.65373486,89.33258171,6.06598E-06,2.97556E-06,0,2.88332E-06,5.62665E-06,8.2871E-06
1357.5,-65.39661761,-32.08258888,0,30.53604231,60.6858529,89.38899241,6.09198E-06,2.98863E-06,0,2.84457E-06,5.65315E-06,8.32697E-06
1365,-65.4038022,-32.08958927,0,30.82574777,60.71831177,89.44601247,6.11915E-06,3.00229E-06,0,2.88404E-06,5.68078E-06,8.36853E-06
1372.5,-65.41105737,-32.09665987,0,31.08752711,60.7511152,89.50364857,6.14753E-06,3.01654E-06,0,2.9217E-06,5.70957E-06,8.41182E-06
1380,-65.41838001,-32.1037976,0,31.3218245,60.78424863,89.56187493,6.1771E-06,3.03139E-06,0,2.95755E-06,5.73952E-06,8.45684E-06
1387.5,-65.42577058,-32.11100294,0,30.68497969,60.81771446,89.6206959,6.2079E-06,3.04684E-06,0,2.91153E-06,5.77067E-06,8.50363E-06
1395,-65.43322675,-32.11827358,0,30.86781473,60.85150176,89.6800921,6.23994E-06,3.06291E-06,0,2.94366E-06,5.80301E-06,8.5522E-06
1402.5,-65.44072158,-32.12558301,0,31.03082301,60.88548368,89.7398385,6.27284E-06,3.07941E-06,0,2.97447E-06,5.8362E-06,8.60204E-06
1410,-65.44825662,-32.13293275,0,31.17337144,60.91966764,89.7999483,6.30666E-06,3.09636E-06,0,3.0039E-06,5.87028E-06,8.65321E-06
1417.5,-65.45582861,-32.1403196,0,31.29619958,60.95403837,89.86039444,6.34137E-06,3.11376E-06,0,3.03198E-06,5.90524E-06,8.70569E-06
1425,-65.4634143,-32.14772065,0,31.40647963,60.98848624,89.92098238,6.37664E-06,3.13143E-06,0,3.05923E-06,5.94075E-06,8.75899E-06
1432.5,-65.47101737,-32.15513954,0,30.68615033,61.0230287,89.98174312,6.41253E-06,3.14942E-06,0,3.00554E-06,5.97687E-06,8.81322E-06
1440,-65.47860283,-32.16254178,0,30.78447311,61.05750058,90.0423835,6.44851E-06,3.16745E-06,0,3.03174E-06,6.0131E-06,8.86761E-06
1447.5,-65.48616781,-32.16992454,0,30.88129861,61.09188841,90.10287958,6.48451E-06,3.1855E-06,0,3.0579E-06,6.04938E-06,8.92208E-06
1455,-65.49370797,-32.17728357,0,30.97817446,61.12617172,90.16319506,6.52046E-06,3.20352E-06,0,3.08414E-06,6.08563E-06,8.97652E-06
1462.5,-65.5012005,-32.18459636,0,31.08295276,61.1602427,90.22313851,6.55597E-06,3.22133E-06,0,3.11107E-06,6.12149E-06,9.03037E-06
1470,-65.5086649,-32.19188213,0,31.18944728,61.19419351,90.28287357,6.59134E-06,3.23908E-06,0,3.13822E-06,6.15723E-06,9.08407E-06
1477.5,-65.5160927,-32.19913255,0,31.30081853,61.22798412,90.34232917,6.62641E-06,3.25668E-06,0,3.16582E-06,6.19271E-06,9.13739E-06
1485,-65.52347453,-32.20633837,0,31.42062427,61.26157026,90.40142671,6.66101E-06,3.27404E-06,0,3.19417E-06,6.22775E-06,9.19006E-06
1492.5,-65.53081217,-32.21350135,0,30.7655525,61.29496029,90.460181,6.69512E-06,3.29118E-06,0,3.14324E-06,6.26236E-06,9.2421E-06
1500,-65.53811129,-32.22062708,0,30.90396348,61.32818106,90.51863975,6.72884E-06,3.30811E-06,0,3.17293E-06,6.29661E-06,9.29361E-06
1507.5,-65.54536531,-32.22770906,0,31.05148762,61.36120143,90.57674764,6.76202E-06,3.32479E-06,0,3.20344E-06,6.33036E-06,9.3444E-06
1515,-65.55258916,-32.23476203,0,31.20328913,61.39409203,90.63463014,6.79492E-06,3.34132E-06,0,3.23441E-06,6.36386E-06,9.39482E-06
1522.5,-65.55978459,-32.2417877,0,31.35895295,61.42686119,90.69230206,6.82754E-06,3.35773E-06,0,3.26579E-06,6.39712E-06,9.44489E-06
1530,-65.5669503,-32.24878479,0,31.51924704,61.45950269,90.74975234,6.85984E-06,3.37398E-06,0,3.29765E-06,6.43011E-06,9.49455E-06
1537.5,-65.57409836,-32.25576522,0,30.91891964,61.49207382,90.80708278,6.89205E-06,3.39018E-06,0,3.24968E-06,6.46301E-06,9.54412E-06
1545,-65.58123172,-32.26273188,0,31.08276564,61.52458851,90.86431813,6.92421E-06,3.40637E-06,0,3.28179E-06,6.4959E-06,9.59365E-06
1552.5,-65.58835108,-32.26968548,0,31.24611648,61.55705015,90.92146446,6.95632E-06,3.42253E-06,0,3.31397E-06,6.52876E-06,9.64316E-06
1560,-65.59546479,-32.27663425,0,31.40591907,61.58949834,90.97859212,6.98855E-06,3.43876E-06,0,3.34599E-06,6.56175E-06,9.69287E-06
1567.5,-65.60256509,-32.28357055,0,31.56529213,61.62189635,91.0356359,7.02073E-06,3.45496E-06,0,3.37809E-06,6.59472E-06,9.74255E-06
1575,-65.60965902,-32.2905013,0,30.9775315,61.65427758,91.09265515,7.053E-06,3.47121E-06,0,3.33006E-06,6.6278E-06,9.7924E-06
1582.5,-65.61674615,-32.2974261,0,31.13454224,61.68664008,91.14964642,7.08534E-06,3.4875E-06,0,3.36193E-06,6.66097E-06,9.8424E-06
1590,-65.62382706,-32.30434552,0,31.2887798,61.71898662,91.20661469,7.11777E-06,3.50383E-06,0,3.39368E-06,6.69424E-06,9.89256E-06
1597.5,-65.63090258,-32.31126038,0,31.43994768,61.75132122,91.2635671,7.1503E-06,3.52022E-06,0,3.42529E-06,6.72763E-06,9.9429E-06
1605,-65.63796852,-32.31816654,0,31.58993534,61.78362402,91.32046842,7.18282E-06,3.5366E-06,0,3.45691E-06,6.76104E-06,9.99328E-06
1612.5,-65.6450228,-32.32506197,0,31.01180572,61.81588521,91.37730118,7.21529E-06,3.55297E-06,0,3.40862E-06,6.79442E-06,1.00436E-05
1620,-65.65205421,-32.3319356,0,31.16921905,61.84805161,91.43397091,7.24745E-06,3.56918E-06,0,3.44082E-06,6.82751E-06,1.00936E-05
1627.5,-65.65906934,-32.33879392,0,31.3286764,61.88015452,91.49053324,7.27942E-06,3.5853E-06,0,3.47331E-06,6.86046E-06,1.01433E-05
1635,-65.66606603,-32.34563482,0,31.49119969,61.91218375,91.5469701,7.31114E-06,3.60131E-06,0,3.50618E-06,6.89319E-06,1.01927E-05
