Hour,CO,N0,NO2,O3,SO2
1:00,0.46,4.79,22.46,68.19,2.00
2:00,0.41,4.38,18.92,66.73,2.00
3:00,0.36,4.42,16.92,66.15,2.00
4:00,0.33,4.04,17.46,64.77,2.00
5:00,0.33,4.42,16.58,64.73,2.00
6:00,0.38,6.67,20.38,58.65,2.00
7:00,0.51,14.96,22.46,51.58,2.00
8:00,0.60,16.67,23.08,53.00,2.00
9:00,0.52,10.25,19.50,66.73,2.00
10:00,0.45,6.32,15.52,83.15,2.00
11:00,0.39,5.84,14.24,94.63,2.11
12:00,0.37,4.96,12.40,103.78,2.11
13:00,0.34,4.68,11.80,107.93,2.15
14:00,0.36,4.42,11.42,109.12,2.15
15:00,0.36,4.58,12.29,109.50,2.19
16:00,0.34,4.50,12.54,108.54,2.27
17:00,0.35,4.54,13.50,104.92,2.62
18:00,0.37,4.33,14.21,104.77,2.27
19:00,0.38,3.96,13.71,105.32,2.12
20:00,0.40,3.88,13.76,100.38,2.00
21:00,0.42,3.84,15.64,93.15,2.00
22:00,0.46,3.84,20.72,83.73,2.00
23:00,0.48,4.12,20.04,77.85,2.00
0:00,0.49,4.76,22.32,72.69,2.00