DAY,Tmin,Tmean,Tmax,Rhmin,Rhmax,Wind
27-Jun-18,17.9,19.7,21.7,73,92,6.6
28-Jun-18,17.6,20.3,23.7,72,93,11.7
29-Jun-18,20.3,23.2,28.4,59,83,9.1
30-Jun-18,19.6,24.8,28.8,55,87,13.9
1-Jul-18,22.9,26.4,30.7,46,73,12
2-Jul-18,20.6,25.5,29.9,60,85,5.3
3-Jul-18,21.8,26,29.9,63,89,5
4-Jul-18,22.8,26.6,33,53,87,5.1
5-Jul-18,23.1,27.9,33.3,48,89,7.3
6-Jul-18,23,27.3,30.9,62,84,6.8
7-Jul-18,23.1,26.7,31.4,58,85,7.6
8-Jul-18,22.9,26.3,30.4,48,82,16.6
9-Jul-18,19.4,24.1,31,49,88,16.4
10-Jul-18,19.4,23.8,29.5,55,83,11.7
11-Jul-18,21.2,25.8,30.6,58,86,8.3
12-Jul-18,21.1,26.6,31.8,53,83,4.9
13-Jul-18,22.5,27.5,31.9,60,86,6.7
14-Jul-18,25.7,28.7,32.2,43,80,15.3
15-Jul-18,24.8,28,32.5,39,72,13.5
16-Jul-18,23.2,27.8,32.9,44,80,12.3
17-Jul-18,24.1,27.6,35.6,41,79,6.9
18-Jul-18,24.4,27.3,30.7,44,74,24.7
19-Jul-18,23,26.2,29,48,66,26.4
20-Jul-18,22.2,26.3,30.7,51,77,15
21-Jul-18,21.6,26.7,32.1,44,81,10.7
22-Jul-18,21.6,28.1,36.1,40,86,3.9
23-Jul-18,19.4,25.6,35,39,88,8
24-Jul-18,21,24.7,29.3,58,93,11.3
25-Jul-18,22.7,25.8,29.4,62,89,14
26-Jul-18,22.3,25.1,29.9,61,92,7.8
27-Jul-18,21.1,25,30.3,67,94,4.1